stock.id,region,pfma,lat,lon,yr_start,yr_end
1,Central Coast (South),Area 7-10,51.874457,-127.929074,1980,2016
2,Haida Gwaii,Area 2E,53.269813,-131.878569,1980,2016
3,Hecate Lowlands,Area 5-6,53.264556,-129.137206,1980,2016
4,Inner Waters,Area 6 - Inner,53.264556,-129.137206,1980,2016
5,Nass,Area 3,54.777247,-130.294817,1980,2016
6,Skeena,Area 4,54.155357,-130.020241,1980,2016
