"","year","population","pop_no","stat_area","CU","escapement","er_E","er_2","er_3","total_runE","total_run2","total_run3","age_3","age_4","age_5","rec_E","rec_2","rec_3","RS_E","RS_2","RS_3","logRS1","logRS2","logRS3","Ut","Model","group","region","Smsy","Sgen","Umsy","U_relative"
"18",1980,"evelyn_ck",11,6,"northern_coastal",50,0.447,0.467,0.461,90,94,93,0.714,0.286,0,432,448,442,8.638300238,8.964364078,8.848597771,2.15620583174878,2.19325717068729,2.18025900251147,0.467,"Time-varying",5,"Inner Waters",265.093117003757,34.158382940474,0.751952984051282,0.62104946706103
"19",1980,"exchamsiks",36,4,"lower_skeena",400,0.74,NA,NA,1538,NA,NA,0.571,0.426,0.003,2266,NA,NA,5.665832237,NA,NA,1.73445379225131,NA,NA,0.74,"Time-varying",3,"Skeena",1632.85688463823,361.271577849051,0.635340702388818,1.16472940772986
"20",1980,"exstew",37,4,"lower_skeena",1500,0.74,NA,NA,5769,NA,NA,0.571,0.426,0.003,2568,NA,NA,1.712055263,NA,NA,0.537694556988289,NA,NA,0.74,"Time-varying",3,"Skeena",1902.11234222351,500.949825622208,0.588130037789829,1.25822514146853
"21",1980,"foch_ck",12,6,"douglas_channel_kitimat",800,0.562,0.57,0.461,1826,1862,1485,0.714,0.286,0,1120,1138,885,1.399883744,1.422885864,1.106074721,0.336389193173201,0.352687107879637,0.100817460492594,0.57,"Time-varying",5,"Inner Waters",451.297129099353,123.391528743311,0.584510950068052,0.975174203209774
"22",1980,"green",19,6,"mussel_kynoch",125,0.447,0.467,0.461,226,235,232,0.714,0.286,0,483,501,495,3.860853217,4.011103701,3.960111471,1.35088819972442,1.38906644060479,1.37627217411263,0.467,"Time-varying",5,"Inner Waters",882.247569159803,234.094307256607,0.585811829757334,0.797184311203564
"23",1980,"hartleybay_ck",13,6,"hecate_strait_mainland",200,0.407,0.416,0.461,337,343,371,0.854411765,0.141176471,0.004411765,413,418,457,2.063397752,2.089495449,2.284948607,0.724354018219554,0.736922624870439,0.826343532627148,0.416,"Time-varying",4,"Hecate Lowlands",927.096360316108,295.174555206897,0.527351791001192,0.788847230821407
"24",1980,"hugh_ck",14,6,"northern_coastal",100,0.447,0.467,0.461,181,188,186,0.714,0.286,0,407,422,416,4.065691918,4.216333245,4.161378659,1.40258394204523,1.43896585104702,1.425846427783,0.467,"Time-varying",5,"Inner Waters",436.152375160402,108.891492787386,0.60233086653278,0.775321382230018
"25",1980,"kadeen",38,4,"lower_skeena",750,0.74,NA,NA,2885,NA,NA,0.571,0.426,0.003,1816,NA,NA,2.421419649,NA,NA,0.884353999985596,NA,NA,0.74,"Time-varying",3,"Skeena",580.72402213091,132.283456284858,0.63646810189225,1.16266627942539
"26",1980,"kasiks",34,4,"lower_skeena",1500,0.74,NA,NA,5769,NA,NA,0.571,0.426,0.003,4843,NA,NA,3.22854386,NA,NA,1.17203121824842,NA,NA,0.74,"Time-varying",3,"Skeena",1316.32001600291,290.926222265424,0.636030419622586,1.1634663644533
"27",1980,"kemano",5,6,"northern_coastal",4000,0.447,0.467,0.461,7233,7509,7426,0.714,0.286,0,7624,7901,7797,1.906116859,1.975242226,1.949229216,0.645068114475331,0.680691036908619,0.667434020588203,0.467,"Time-varying",5,"Inner Waters",3859.55379857016,1124.79708586794,0.562507912034462,0.830210544614329
"28",1980,"kildala",10,6,"northern_coastal",3000,0.447,0.467,0.461,5425,5632,5569,0.714,0.286,0,3812,3950,3898,1.270744572,1.316828151,1.299486144,0.239603005842539,0.275225929053589,0.261968912480038,0.467,"Time-varying",5,"Inner Waters",1624.30267423853,505.077757790443,0.547065001751618,0.853646273303424
